currentTimeMillis,nanoTime,timestamp,x,y,z
1424616769417,245724536995274,245724528310000,-2.9419951,0.44947147,8.921328,
1424616769425,245724545378607,245724541561000,-2.7513103,0.5720546,8.771504,
1424616769435,245724555303607,245724554571000,-2.8330324,0.44947147,8.580819,
1424616769448,245724568148607,245724567713000,-2.9419951,0.29964766,8.539958,
1424616769465,245724585235274,245724581063000,-2.982856,0.25878662,8.921328,
1424616769475,245724595373607,245724594063000,-2.8602731,0.29964766,8.798744,
1424616769488,245724608513607,245724607103000,-2.7921712,0.44947147,8.3765135,
1424616769502,245724622256941,245724620203000,-2.6423476,0.40861043,9.071152,
1424616769516,245724635985274,245724633536000,-2.5606253,0.53119355,8.921328,
1424616769532,245724652726941,245724646680000,-2.3699405,0.53119355,9.575105,
1424616769541,245724661030274,245724659758000,-2.4108016,0.61291564,9.302697,
1424616769553,245724673498607,245724672813000,-2.3699405,0.6401563,9.220976,
1424616769579,245724698901940,245724686156000,-2.1792557,0.7627395,9.220976,
1424616769581,245724701390274,245724699351000,-2.2882185,0.6401563,9.261836,
1424616769596,245724716625274,245724712580000,-2.4108016,0.87170225,8.989429,
1424616769606,245724726183607,245724725598000,-2.3290794,0.6810174,8.798744,
1424616769619,245724739733607,245724738660000,-2.5606253,0.61291564,8.880466,
1424616769633,245724753638607,245724751833000,-2.6423476,0.44947147,8.689782,
1424616769647,245724767321940,245724765166000,-2.8330324,0.53119355,8.580819,
1424616769663,245724783758607,245724778358000,-2.6423476,0.44947147,8.458236,
1424616769672,245724792506941,245724791618000,-2.8330324,0.44947147,8.539958,
1424616769685,245724805485274,245724804666000,-2.7513103,0.44947147,8.580819,
1424616769698,245724818635274,245724817768000,-2.8330324,0.38136974,9.112013,
1424616769713,245724833506941,245724831096000,-2.7104492,0.40861043,8.771504,
1424616769729,245724849473607,245724844281000,-2.7513103,0.3405087,8.60806,
1424616769738,245724858090274,245724857400000,-2.7921712,0.40861043,8.580819,
1424616769751,245724871618608,245724870705000,-2.7513103,0.38136974,8.839605,
1424616769767,245724887255274,245724883868000,-2.7104492,0.21792556,8.798744,
1424616769781,245724901750274,245724897148000,-2.4516625,0.29964766,8.689782,
1424616769796,245724916231941,245724910320000,-2.7104492,0.21792556,8.689782,
1424616769806,245724926346941,245724923403000,-2.7513103,0.19068487,8.989429,
1424616769817,245724937068607,245724936455000,-2.7921712,0.14982383,8.267551,
1424616769830,245724950398608,245724949668000,-2.5606253,0.0,8.185829,
1424616769846,245724966186941,245724962981000,-2.5197644,-0.06810174,8.117727,
1424616769862,245724981871941,245724976136000,-2.4516625,0.14982383,8.730643,
1424616769872,245724992108608,245724989223000,-1.8387469,0.40861043,9.152874,
1424616769883,245725002948607,245725002328000,-1.9068487,0.19068487,8.962189,
1424616769896,245725016228607,245725015570000,-2.2882185,0.0,9.030291,
1424616769912,245725032295274,245725028885000,-2.6423476,0.027240695,8.839605,
1424616769928,245725048060274,245725042135000,-2.7104492,-0.25878662,9.112013,
1424616769936,245725056286941,245725055153000,-2.982856,-0.10896278,8.60806,
1424616769949,245725068836940,245725068245000,-2.7104492,-0.21792556,8.3765135,
1424616769962,245725082438608,245725081618000,-2.6014864,-0.21792556,8.308413,
1424616769979,245725099400274,245725094906000,-2.4789033,-0.29964766,8.648921,
1424616769994,245725114453607,245725108025000,-2.6014864,-0.25878662,8.539958,
1424616770001,245725121778608,245725121148000,-2.5606253,-0.29964766,8.689782,
1424616770014,245725134795274,245725134191000,-2.4108016,-0.38136974,7.995144,
