currentTimeMillis,nanoTime,timestamp,x,y,z
1424633338188,257840258887415,257839988132000,-0.0,2.669588,9.220976,
1424633338190,257840261544082,257840002814000,-0.14982383,2.7104492,9.071152,
1424633338191,257840262307415,257840016292000,-0.25878662,2.669588,8.22669,
1424633338192,257840262682415,257840029954000,-0.21792556,2.3290794,8.499097,
1424633338192,257840263162415,257840044464000,-0.44947147,2.1792557,8.3765135,
1424633338192,257840263550749,257840057704000,-0.7218784,2.1792557,8.989429,
1424633338193,257840264004082,257840071140000,-0.53119355,2.2882185,8.730643,
1424633338203,257840273990748,257840084514000,-1.0623871,2.7513103,8.580819,
1424633338204,257840275225748,257840097605000,-0.95342433,2.7104492,8.962189,
1424633338205,257840275912415,257840110667000,-0.61291564,2.4108016,8.798744,
1424633338205,257840276309082,257840124664000,-0.4903325,2.4516625,8.798744,
1424633338206,257840276739082,257840137920000,-0.4903325,2.1383946,8.771504,
1424633338208,257840278895748,257840151414000,-0.44947147,2.1792557,8.689782,
1424633338209,257840280114082,257840164497000,-0.14982383,2.3699405,8.730643,
1424633338209,257840280492415,257840177547000,-0.29964766,2.4789033,8.648921,
1424633338210,257840280867415,257840190580000,-0.44947147,2.5197644,9.112013,
1424633338210,257840281204082,257840203710000,-0.38136974,2.669588,9.112013,
1424633338210,257840281560749,257840216887000,-0.53119355,2.669588,8.648921,
1424633338211,257840281890749,257840230075000,-0.7218784,2.5197644,8.771504,
1424633338212,257840282732415,257840243435000,-0.44947147,2.4108016,8.921328,
1424633338212,257840283162415,257840257095000,-0.29964766,2.4516625,9.112013,
1424633338257,257840328267415,257840271432000,-0.3405087,2.4789033,9.030291,
1424633338262,257840333014082,257840285067000,-0.53119355,2.4516625,8.880466,
1424633338265,257840336269082,257840298495000,-0.29964766,2.2882185,9.030291,
1424633338266,257840337240748,257840311742000,-0.25878662,2.4516625,8.962189,
1424633338268,257840338912415,257840325035000,-0.5720546,2.4516625,8.839605,
1424633338282,257840353224082,257840339034000,-0.44947147,2.4108016,8.798744,
1424633338285,257840356535748,257840352427000,-0.38136974,2.3290794,8.689782,
1424633338296,257840367360748,257840366120000,-0.5720546,2.4789033,9.302697,
1424633338309,257840380405749,257840379409000,-0.53119355,2.4108016,8.458236,
1424633338324,257840394674082,257840393767000,-0.29964766,2.2882185,8.921328,
1424633338345,257840415952415,257840407549000,-0.38136974,2.3699405,8.798744,
1424633338351,257840422385749,257840421592000,-0.5720546,2.3290794,8.989429,
1424633338370,257840440905749,257840435522000,-0.53119355,2.3699405,8.989429,
1424633338394,257840464704082,257840449490000,-0.40861043,2.3290794,8.839605,
1424633338398,257840468847415,257840463269000,-0.4903325,2.2882185,8.839605,
1424633338407,257840477769081,257840476979000,-0.3405087,2.2473574,8.839605,
1424633338420,257840491175749,257840490414000,-0.40861043,2.2882185,8.880466,
1424633338440,257840510709082,257840504359000,-0.4903325,2.2882185,9.071152,
1424633338456,257840527174082,257840517927000,-0.40861043,2.1792557,8.499097,
1424633338463,257840533809082,257840532930000,-0.6810174,2.4108016,8.839605,
1424633338476,257840547280748,257840546442000,-0.6401563,2.3290794,8.798744,
1424633338492,257840563275749,257840560169000,-0.40861043,2.3699405,8.921328,
1424633338503,257840574037415,257840573362000,-0.53119355,2.3699405,8.989429,
1424633338521,257840591815749,257840586904000,-0.38136974,2.4516625,8.880466,
1424633338537,257840608515748,257840600405000,-0.25878662,2.3699405,8.989429,
1424633338544,257840615000748,257840614135000,-0.29964766,2.4108016,9.112013,
1424633338557,257840628464081,257840627615000,-0.29964766,2.3290794,9.575105,
1424633338570,257840641585749,257840640917000,-0.25878662,2.3699405,9.112013,
1424633338584,257840655005748,257840654215000,-0.29964766,2.4789033,9.071152,
1424633338602,257840672727415,257840667735000,-0.40861043,2.4516625,8.921328,
1424633338621,257840692289082,257840681359000,-0.4903325,2.3290794,8.962189,
1424633338626,257840696667415,257840695732000,-0.4903325,2.1792557,8.771504,
1424633338639,257840709979081,257840709199000,-0.44947147,2.3699405,8.798744,
1424633338654,257840724632415,257840722702000,-0.61291564,2.3290794,8.962189,
1424633338672,257840742632415,257840736027000,-0.4903325,2.3290794,8.771504,
1424633338679,257840750494082,257840749429000,-0.5720546,2.3699405,9.030291,
1424633338694,257840764645748,257840762954000,-0.53119355,2.3290794,8.458236,
1424633338706,257840776977415,257840776067000,-0.44947147,2.4108016,8.880466,
1424633338720,257840791204082,257840789452000,-0.44947147,2.4108016,8.580819,
1424633338739,257840809779081,257840803227000,-0.53119355,2.3699405,8.989429,
1424633338756,257840826594082,257840816659000,-0.53119355,2.4516625,8.771504,
1424633338760,257840831240749,257840830262000,-0.53119355,2.3699405,8.60806,
1424633338774,257840845469082,257840844095000,-0.4903325,2.4516625,9.152874,
1424633338787,257840857909081,257840857400000,-0.53119355,2.3290794,8.880466,
1424633338803,257840873952415,257840871574000,-0.53119355,2.3699405,9.030291,
1424633338820,257840891315749,257840884977000,-0.4903325,2.3699405,8.921328,
1424633338838,257840909155748,257840898462000,-0.61291564,2.2882185,8.880466,
1424633338842,257840912804082,257840912059000,-0.40861043,2.3699405,8.798744,
1424633338860,257840931529082,257840925482000,-0.4903325,2.3290794,8.880466,
1424633338868,257840939280748,257840938899000,-0.44947147,2.4516625,8.771504,
1424633338886,257840956899082,257840952509000,-0.4903325,2.3699405,8.989429,
1424633338902,257840973412415,257840965945000,-0.53119355,2.4108016,8.989429,
1424633338922,257840993487415,257840979425000,-0.4903325,2.3699405,8.989429,
1424633338925,257840995789082,257840993074000,-0.6401563,2.3699405,8.839605,
1424633338936,257841007389081,257841006562000,-0.6401563,2.3290794,8.648921,
1424633338950,257841021152415,257841020239000,-0.6810174,2.4108016,8.60806,
1424633338970,257841041267415,257841034104000,-0.61291564,2.4516625,8.839605,
1424633338987,257841057929081,257841047605000,-0.53119355,2.4789033,8.798744,
1424633338992,257841063414082,257841061885000,-0.6401563,2.3699405,8.689782,
1424633339012,257841082882415,257841075590000,-0.6810174,2.3290794,8.771504,
1424633339019,257841089857415,257841088980000,-0.5720546,2.3699405,9.030291,
1424633339035,257841105607415,257841102564000,-0.61291564,2.3699405,8.839605,
1424633339055,257841125807415,257841115855000,-0.5720546,2.3699405,9.030291,
