currentTimeMillis,nanoTime,timestamp,x,y,z
1422810436913,201434883436301,201434883121000,-5.7750273,5.012288,4.930566,
1422810436926,201434897206301,201434896159000,-5.3936577,5.6252036,5.706926,
1422810436939,201434909396301,201434909094000,-5.3936577,5.47538,5.5162406,
1422810436952,201434923007968,201434922406000,-5.47538,5.202973,5.47538,
1422810436966,201434936697968,201434935944000,-5.243834,5.284695,5.3119354,
1422810437010,201434980627968,201434950161000,-5.1621118,5.47538,5.6252036,
1422810437010,201434980849635,201434964391000,-5.09401,5.3936577,5.8567495,
1422810437010,201434980971301,201434977922000,-5.012288,5.47538,5.7341666,
1422810437020,201434991202968,201434990919000,-5.012288,5.284695,5.7341666,
1422810437033,201435004077968,201435003882000,-5.053149,5.434519,5.8567495,
1422810437046,201435017017968,201435016836000,-5.053149,5.284695,5.8158884,
1422810437060,201435031237968,201435029797000,-5.1212506,5.243834,5.8158884,
1422810437073,201435043729634,201435043157000,-5.202973,5.243834,5.5162406,
1422810437086,201435057212968,201435056682000,-5.1621118,5.3119354,5.7750273,
1422810437100,201435070747967,201435070232000,-5.47538,5.243834,5.9248514,
1422810437114,201435084587967,201435084036000,-5.5162406,5.3936577,5.8158884,
1422810437129,201435100162967,201435097407000,-5.5434813,5.3527966,5.965712,
1422810437141,201435111854634,201435111171000,-5.5434813,5.3936577,5.5434813,
1422810437156,201435126782967,201435125942000,-5.47538,5.3527966,6.197258,
1422810437170,201435140516300,201435139397000,-5.3936577,5.3527966,6.0474343,
1422810437183,201435153496300,201435152887000,-5.284695,5.3936577,5.8567495,
1422810437196,201435166944634,201435166406000,-5.284695,5.3936577,6.0474343,
1422810437211,201435181327968,201435179904000,-5.284695,5.3936577,5.9248514,
1422810437223,201435193894634,201435193362000,-5.3936577,5.5162406,6.0474343,
1422810437237,201435207621301,201435206879000,-5.3527966,5.5434813,5.8976107,
1422810437250,201435220966301,201435220412000,-5.243834,5.3527966,6.006573,
1422810437264,201435234482968,201435233954000,-5.284695,5.47538,5.8976107,
1422810437277,201435248006301,201435247496000,-5.202973,5.434519,5.7750273,
1422810437291,201435261602967,201435261089000,-5.284695,5.3936577,5.7750273,
1422810437304,201435275129634,201435274624000,-5.284695,5.47538,5.8976107,
1422810437318,201435288666300,201435288161000,-5.3936577,5.5843425,5.7750273,
1422810437331,201435302207968,201435301704000,-5.284695,5.5162406,5.965712,
1422810437345,201435315739634,201435315236000,-5.3119354,5.434519,5.6660647,
1422810437358,201435329131301,201435328631000,-5.09401,5.47538,5.434519,
1422810437372,201435343079634,201435342471000,-5.243834,5.3527966,5.7341666,
1422810437387,201435357357968,201435356789000,-5.202973,5.3936577,5.6660647,
1422810437401,201435371852967,201435371306000,-5.5162406,5.3119354,5.5162406,
1422810437415,201435386247967,201435385714000,-5.3119354,5.3119354,5.434519,
1422810437430,201435400676300,201435400137000,-5.1212506,5.3527966,5.706926,
1422810437444,201435415066300,201435414544000,-5.1212506,5.3936577,5.6660647,
1422810437459,201435429462967,201435428949000,-5.09401,5.3936577,5.7750273,
1422810437473,201435443852968,201435443334000,-5.09401,5.47538,5.6252036,
1422810437487,201435458234634,201435457717000,-5.1621118,5.3936577,5.8567495,
1422810437501,201435471824635,201435471312000,-5.284695,5.5434813,5.6252036,
1422810437516,201435486482968,201435485721000,-5.243834,5.6660647,5.8567495,
1422810437531,201435501534635,201435500161000,-5.202973,5.5434813,6.1563973,
1422810437544,201435514801302,201435514219000,-5.1621118,5.3527966,5.202973,
1422810437558,201435529076301,201435528527000,-5.243834,5.243834,5.202973,
1422810437573,201435543481301,201435542942000,-5.284695,5.3936577,5.5843425,
1422810437587,201435557877967,201435557351000,-5.434519,5.5434813,5.3527966,
1422810437602,201435572271301,201435571736000,-5.7750273,5.5434813,5.5434813,
1422810437616,201435586636301,201435586114000,-5.434519,5.47538,5.8567495,
1422810437632,201435602662967,201435599724000,-5.6660647,5.706926,5.7341666,
1422810437650,201435621116300,201435613547000,-5.8567495,5.5434813,5.8158884,
1422810437659,201435629266300,201435627087000,-5.6660647,5.3936577,6.0474343,
1422810437671,201435641262967,201435640644000,-5.5162406,5.284695,5.8158884,
1422810437684,201435654699634,201435654106000,-5.5843425,5.3119354,5.8158884,
1422810437697,201435668009634,201435667464000,-5.09401,5.284695,5.8567495,
1422810437711,201435681486300,201435680959000,-5.434519,5.3936577,5.706926,
1422810437724,201435694971300,201435694412000,-5.243834,5.3527966,6.238119,
1422810437738,201435708339634,201435707779000,-5.202973,5.47538,5.7341666,
1422810437751,201435721744634,201435721212000,-5.5843425,5.5434813,5.7341666,
1422810437764,201435735247967,201435734716000,-5.706926,5.3119354,5.47538,
1422810437778,201435748764634,201435748237000,-5.8976107,5.3527966,5.6660647,
1422810437792,201435762449635,201435761724000,-5.8976107,5.5162406,5.5843425,
1422810437805,201435775827968,201435775267000,-5.7341666,5.5434813,5.5434813,
1422810437819,201435789331301,201435788806000,-5.6660647,5.434519,5.5434813,
1422810437832,201435802842967,201435802334000,-5.6660647,5.47538,5.5434813,
1422810437845,201435816242967,201435815731000,-5.5843425,5.434519,5.7341666,
1422810437859,201435829711300,201435829104000,-5.5843425,5.47538,5.6252036,
1422810437873,201435843952967,201435843379000,-5.6660647,5.3936577,5.5434813,
1422810437888,201435858347967,201435857796000,-5.6252036,5.47538,5.3936577,
1422810437902,201435872744635,201435872211000,-5.7341666,5.3936577,5.5162406,
1422810437916,201435887134634,201435886619000,-5.7341666,5.3527966,5.7341666,
1422810437931,201435901554634,201435901027000,-5.8158884,5.3119354,5.6252036,
1422810437945,201435915951300,201435915432000,-5.7341666,5.284695,5.5434813,
1422810437961,201435931326300,201435929839000,-5.5162406,5.3527966,5.5162406,
1422810437974,201435944697967,201435944141000,-5.5162406,5.284695,5.47538,
1422810437988,201435958949633,201435958412000,-5.5434813,5.3119354,5.5843425,
1422810438002,201435972531301,201435971999000,-5.6252036,5.3119354,5.5434813,
1422810438016,201435986949634,201435986412000,-5.6660647,5.3119354,5.5843425,
1422810438031,201436001357968,201436000836000,-5.6660647,5.47538,5.3119354,
1422810438045,201436015424634,201436014897000,-5.6252036,5.3527966,5.7750273,
1422810438058,201436028912967,201436028281000,-5.5843425,5.3936577,5.5843425,
1422810438072,201436043094634,201436042286000,-5.6252036,5.243834,5.6660647,
1422810438086,201436057217968,201436056626000,-5.706926,5.3936577,5.5162406,
1422810438101,201436071596300,201436071047000,-5.706926,5.3119354,5.5434813,
1422810438115,201436085631300,201436085097000,-5.6252036,5.284695,5.3936577,
1422810438129,201436099851300,201436098594000,-5.706926,5.284695,5.5162406,
1422810438147,201436117504634,201436112217000,-5.6252036,5.284695,5.47538,
1422810438155,201436125814634,201436125284000,-5.5162406,5.243834,5.6660647,
1422810438168,201436138504634,201436138227000,-5.6660647,5.3936577,5.5843425,
1422810438181,201436152074634,201436151477000,-5.6252036,5.3119354,5.47538,
1422810438195,201436165549634,201436164999000,-5.706926,5.3119354,5.9248514,
1422810438208,201436179059634,201436178537000,-5.5843425,5.3527966,5.6660647,
1422810438223,201436193411301,201436192854000,-5.6252036,5.284695,5.5434813,
1422810438236,201436206787968,201436206242000,-5.6660647,5.3527966,5.8158884,
1422810438250,201436220459635,201436219759000,-5.6660647,5.3527966,5.5843425,
1422810438263,201436233794634,201436233284000,-5.5843425,5.3936577,5.5843425,
1422810438277,201436247324634,201436246819000,-5.6660647,5.3527966,5.6660647,
1422810438290,201436260861300,201436260356000,-5.6252036,5.3119354,5.7341666,
1422810438304,201436274394634,201436273889000,-5.706926,5.284695,5.706926,
1422810438317,201436287924634,201436287422000,-5.6660647,5.3119354,5.6660647,
1422810438331,201436301927968,201436301396000,-5.706926,5.3119354,5.5843425,
1422810438345,201436315776301,201436314821000,-5.706926,5.284695,5.7750273,
1422810438359,201436329749634,201436329127000,-5.5434813,5.284695,5.7750273,
1422810438373,201436344104634,201436343541000,-5.5843425,5.434519,5.6252036,
1422810438388,201436358554634,201436357972000,-5.5434813,5.243834,5.434519,
1422810438403,201436373372967,201436372766000,-5.6660647,5.3527966,5.5843425,
1422810438416,201436386921300,201436386357000,-5.6252036,5.3936577,5.6660647,
1422810438431,201436401326300,201436400774000,-5.5434813,5.3527966,6.0474343,
1422810438445,201436415719633,201436415184000,-5.5162406,5.3527966,5.7341666,
1422810438460,201436431041300,201436429591000,-5.5162406,5.3936577,5.5162406,
1422810438474,201436444396300,201436443829000,-5.5162406,5.3527966,5.6660647,
1422810438488,201436458642967,201436458104000,-5.5162406,5.434519,5.706926,
1422810438502,201436472251301,201436471719000,-5.5843425,5.3936577,5.965712,
1422810438516,201436486664634,201436486131000,-5.5434813,5.3527966,5.8567495,
1422810438530,201436501067967,201436500541000,-5.5162406,5.3527966,5.6660647,
1422810438545,201436515474633,201436514949000,-5.3119354,5.3527966,5.6252036,
1422810438559,201436529871300,201436529352000,-5.47538,5.3527966,5.434519,
1422810438573,201436544122967,201436543559000,-5.3936577,5.3527966,5.8158884,
1422810438588,201436558411300,201436557869000,-5.47538,5.3527966,5.706926,
1422810438602,201436572791301,201436572266000,-5.47538,5.284695,5.5843425,
1422810438616,201436587167968,201436586639000,-5.5162406,5.3527966,5.5843425,
1422810438631,201436601527968,201436600777000,-5.5162406,5.284695,5.7341666,
1422810438645,201436615549634,201436614862000,-5.5843425,5.3936577,5.5434813,
1422810438660,201436630871301,201436629132000,-5.5162406,5.3527966,5.6660647,
1422810438673,201436643944634,201436642684000,-5.434519,5.3936577,5.965712,
1422810438686,201436656694634,201436656089000,-5.3527966,5.284695,5.6660647,
1422810438699,201436670222968,201436669456000,-5.434519,5.434519,5.434519,
1422810438713,201436683579634,201436683041000,-5.3936577,5.47538,5.5162406,
1422810438726,201436697086301,201436696572000,-5.434519,5.47538,5.6252036,
1422810438740,201436710619634,201436710107000,-5.3936577,5.47538,5.5434813,
1422810438753,201436724142967,201436723636000,-5.6660647,5.5434813,5.5843425,
1422810438767,201436737651300,201436737142000,-5.47538,5.5843425,5.706926,
1422810438780,201436751159635,201436750656000,-5.3936577,5.5434813,5.965712,
1422810438794,201436764599634,201436764102000,-5.3936577,5.5434813,5.7341666,
1422810438807,201436778151301,201436777634000,-5.6252036,5.5434813,5.5162406,
1422810438821,201436791691300,201436791182000,-5.284695,5.5162406,5.706926,
1422810438834,201436805222967,201436804719000,-5.3527966,5.5434813,5.5434813,
1422810438848,201436818746300,201436818242000,-5.3527966,5.5434813,5.47538,
1422810438864,201436834911301,201436834302000,-5.3936577,5.5434813,5.5162406,
1422810438878,201436848261301,201436847686000,-5.3527966,5.5434813,5.5162406,
1422810438892,201436862649634,201436862102000,-5.3936577,5.5434813,5.5843425,
1422810438907,201436877282968,201436876512000,-5.47538,5.5434813,5.5434813,
1422810438921,201436891429635,201436890847000,-5.3527966,5.3936577,5.6252036,
1422810438935,201436905816301,201436905267000,-5.434519,5.5434813,5.434519,
1422810438950,201436921197968,201436919692000,-5.3119354,5.5843425,5.7341666,
1422810438964,201436934517968,201436933942000,-5.284695,5.5162406,5.5843425,
1422810438978,201436948772967,201436948227000,-5.5162406,5.5434813,5.706926,
1422810438992,201436963154634,201436962624000,-5.47538,5.3936577,5.6660647,
1422810439006,201436977097967,201436976556000,-5.5434813,5.3527966,5.5434813,
1422810439021,201436991451301,201436990926000,-5.3936577,5.3527966,5.7341666,
1422810439035,201437005731301,201437005206000,-5.434519,5.434519,5.7341666,
1422810439049,201437019679634,201437019166000,-5.47538,5.5162406,5.5843425,
1422810439063,201437033847968,201437033217000,-5.5162406,5.5843425,5.5434813,
1422810439077,201437048101301,201437047532000,-5.434519,5.47538,5.7341666,
1422810439092,201437062512967,201437061961000,-5.5434813,5.434519,5.6660647,
1422810439106,201437076869633,201437076337000,-5.5162406,5.434519,5.5162406,
1422810439120,201437091247968,201437090726000,-5.47538,5.3119354,5.706926,
1422810439134,201437105144634,201437104616000,-5.434519,5.243834,5.8976107,
1422810439154,201437124952968,201437118167000,-5.3527966,5.3527966,5.9248514,
1422810439163,201437133652968,201437131741000,-5.3527966,5.202973,5.6660647,
1422810439175,201437145759634,201437145149000,-5.3936577,5.202973,5.9248514,
1422810439189,201437159302967,201437158517000,-5.5162406,5.1621118,5.5434813,
1422810439202,201437172579634,201437171996000,-5.5843425,5.202973,5.6660647,
1422810439215,201437186046301,201437185502000,-5.5162406,5.1621118,5.5434813,
1422810439229,201437199531301,201437199017000,-5.5162406,5.3119354,5.6660647,
1422810439246,201437217121301,201437215896000,-5.5434813,5.3936577,5.47538,
1422810439259,201437229982967,201437229416000,-5.5162406,5.434519,5.6660647,
1422810439273,201437243442968,201437242879000,-5.47538,5.47538,5.012288,
1422810439286,201437256936301,201437256409000,-5.6252036,5.5434813,5.47538,
1422810439300,201437270637967,201437269946000,-5.5162406,5.5434813,5.3527966,
1422810439313,201437283994634,201437283482000,-5.7341666,5.47538,5.6660647,
1422810439327,201437297526300,201437297017000,-5.6252036,5.434519,5.5434813,
1422810439340,201437311097968,201437310591000,-5.5434813,5.47538,5.5162406,
1422810439356,201437326472968,201437325861000,-5.47538,5.47538,5.47538,
1422810439369,201437339797967,201437339239000,-5.5162406,5.5162406,5.6660647,
1422810439384,201437354259634,201437353702000,-5.6252036,5.47538,5.7341666,
1422810439398,201437368654634,201437368119000,-5.706926,5.5434813,5.5434813,
1422810439412,201437383029634,201437382506000,-5.7750273,5.47538,5.3936577,
1422810439427,201437397391300,201437396876000,-5.6660647,5.47538,5.6252036,
1422810439442,201437412504634,201437411634000,-5.6252036,5.5843425,5.7341666,
1422810439455,201437426066300,201437425459000,-5.6252036,5.5843425,5.5843425,
1422810439470,201437440516300,201437439769000,-5.6252036,5.5843425,5.7750273,
1422810439484,201437454772967,201437454221000,-5.6660647,5.5162406,5.8567495,
1422810439498,201437469136300,201437468607000,-5.706926,5.5434813,5.7750273,
1422810439513,201437483449634,201437482904000,-5.7750273,5.5434813,6.0882955,
1422810439527,201437497856300,201437497327000,-5.706926,5.5843425,5.7750273,
1422810439542,201437512259635,201437511737000,-5.7341666,5.5162406,5.5434813,
1422810439556,201437526676301,201437526151000,-5.6660647,5.3527966,5.6252036,
1422810439570,201437541071301,201437540557000,-5.5434813,5.3119354,5.6660647,
1422810439585,201437555484634,201437554967000,-5.6252036,5.284695,5.8567495,
1422810439599,201437569901301,201437569381000,-5.5434813,5.1212506,5.706926,
1422810439613,201437584177968,201437583601000,-5.706926,5.1621118,5.3119354,
1422810439628,201437598417967,201437597879000,-5.7341666,5.1212506,5.5843425,
1422810439643,201437613917967,201437611576000,-5.706926,5.243834,5.7341666,
1422810439655,201437626061300,201437625406000,-5.6252036,5.202973,5.6660647,
1422810439669,201437639762967,201437638914000,-5.6660647,5.202973,5.6252036,
1422810439682,201437653157967,201437652509000,-5.5843425,5.1621118,5.7341666,
1422810439696,201437666466300,201437665886000,-5.6660647,5.202973,5.202973,
1422810439709,201437679814633,201437679252000,-5.6252036,5.202973,5.5843425,
1422810439723,201437693504634,201437692751000,-5.6660647,5.1212506,5.47538,
1422810439736,201437706842967,201437706294000,-5.706926,5.1212506,5.6252036,
1422810439751,201437721264635,201437719836000,-5.6252036,5.1621118,5.47538,
1422810439763,201437733737968,201437733209000,-5.6252036,5.1212506,5.5843425,
1422810439776,201437747227967,201437746712000,-5.6252036,5.1621118,5.7341666,
1422810439790,201437760749634,201437760231000,-5.6660647,5.1621118,5.3936577,
1422810439804,201437774271300,201437773747000,-5.6660647,5.1621118,5.706926,
1422810439817,201437787806300,201437787292000,-5.706926,5.202973,5.5843425,
1422810439831,201437801337968,201437800829000,-5.6252036,5.202973,5.5162406,
1422810439844,201437814864634,201437814361000,-5.706926,5.243834,5.6252036,
1422810439858,201437828397967,201437827891000,-5.706926,5.1621118,5.434519,
1422810439873,201437843774634,201437843122000,-5.706926,5.243834,5.5434813,
1422810439887,201437858026301,201437857442000,-5.7750273,5.1621118,5.5434813,
1422810439902,201437872471300,201437871922000,-5.8158884,5.284695,5.5434813,
1422810439916,201437886869633,201437886336000,-5.706926,5.1621118,5.706926,
1422810439931,201437901282968,201437900759000,-5.8567495,5.284695,5.6660647,
1422810439945,201437915696301,201437915171000,-5.6660647,5.3527966,5.6252036,
1422810439960,201437931112968,201437929577000,-5.6252036,5.434519,5.5434813,
1422810439973,201437943741301,201437943019000,-5.5843425,5.3936577,5.5162406,
1422810439987,201437957944634,201437957321000,-5.6660647,5.284695,5.3119354,
1422810440001,201437971936300,201437971174000,-5.6660647,5.3119354,5.5843425,
1422810440015,201437986099633,201437985514000,-5.5843425,5.284695,5.5162406,
1422810440031,201438001519634,201437999911000,-5.47538,5.243834,5.5434813,
1422810440044,201438014804634,201438014232000,-5.5843425,5.3527966,5.5843425,
1422810440059,201438029674633,201438029054000,-5.5162406,5.434519,5.5843425,
1422810440073,201438044032967,201438043471000,-5.5434813,5.3119354,5.5162406,
1422810440088,201438058422967,201438057887000,-5.6252036,5.3527966,5.47538,
1422810440102,201438072834635,201438072301000,-5.7341666,5.243834,5.5843425,
1422810440116,201438087199634,201438086677000,-5.5162406,5.202973,5.47538,
1422810440131,201438101557967,201438101044000,-5.5434813,5.202973,5.47538,
1422810440146,201438116679633,201438114657000,-5.5162406,5.284695,5.5434813,
1422810440163,201438134189634,201438128311000,-5.3936577,5.3119354,5.3119354,
1422810440173,201438143772967,201438141891000,-5.5843425,5.284695,5.47538,
1422810440185,201438155897967,201438155281000,-5.7341666,5.284695,5.5162406,
1422810440198,201438169239633,201438168652000,-5.6252036,5.3119354,5.7341666,
1422810440212,201438182664634,201438182091000,-5.6660647,5.284695,5.5434813,
1422810440225,201438196111300,201438195576000,-5.5162406,5.202973,5.5434813,
1422810440239,201438209626300,201438209094000,-5.6252036,5.284695,5.5162406,
1422810440252,201438223147967,201438222631000,-5.6660647,5.1621118,5.5434813,
1422810440266,201438236679634,201438236166000,-5.7341666,5.3119354,5.5843425,
1422810440281,201438251276301,201438249697000,-5.6660647,5.1212506,5.706926,
1422810440293,201438263639634,201438263076000,-5.7750273,5.202973,5.243834,
1422810440306,201438277121301,201438276594000,-5.706926,5.202973,5.6660647,
1422810440320,201438290666301,201438290144000,-5.7341666,5.1621118,5.6252036,
1422810440333,201438304189634,201438303677000,-5.706926,5.243834,5.706926,
1422810440347,201438317712967,201438317209000,-5.6660647,5.284695,5.5434813,
1422810440363,201438333831300,201438333224000,-5.5162406,5.243834,5.5434813,
1422810440377,201438347302967,201438346732000,-5.6660647,5.3119354,5.7341666,
1422810440391,201438361684634,201438361139000,-5.5843425,5.434519,5.5434813,
1422810440405,201438376091300,201438375551000,-5.6660647,5.3119354,5.6252036,
1422810440421,201438391369634,201438389967000,-5.5843425,5.3527966,5.5434813,
1422810440434,201438404809633,201438404266000,-5.706926,5.243834,5.5843425,
1422810440448,201438419122967,201438418577000,-5.7750273,5.284695,5.434519,
1422810440463,201438433632966,201438433092000,-5.6252036,5.243834,5.6252036,
1422810440477,201438448011300,201438447481000,-5.7341666,5.284695,5.8567495,
1422810440492,201438462389635,201438461867000,-5.7750273,5.284695,5.8158884,
1422810440505,201438476031301,201438475499000,-5.7750273,5.3119354,5.6660647,
1422810440521,201438491359634,201438489914000,-5.7341666,5.1212506,5.7341666,
1422810440534,201438504772968,201438504221000,-5.706926,5.243834,5.706926,
1422810440548,201438519056301,201438518524000,-5.706926,5.284695,5.5434813,
1422810440563,201438533696300,201438532936000,-5.8158884,5.1212506,5.6252036,
1422810440577,201438547827967,201438547262000,-5.706926,5.1212506,5.6660647,
1422810440591,201438562229635,201438561682000,-5.7750273,5.243834,5.5843425,
1422810440606,201438576629634,201438576094000,-5.8976107,5.243834,5.434519,
1422810440620,201438590994635,201438590474000,-5.8158884,5.243834,5.6660647,
1422810440635,201438605371301,201438604846000,-5.8976107,5.243834,5.434519,
1422810440649,201438619867967,201438618427000,-5.8158884,5.284695,5.434519,
1422810440662,201438633131301,201438632462000,-5.7750273,5.243834,5.5162406,
1422810440676,201438646942967,201438646072000,-5.6660647,5.1621118,5.3936577,
1422810440690,201438660644635,201438659531000,-5.7750273,5.243834,5.6252036,
1422810440703,201438674224634,201438673619000,-5.7750273,5.1621118,5.47538,
1422810440717,201438687534634,201438686976000,-5.6660647,5.3119354,5.3527966,
1422810440730,201438701092968,201438700569000,-5.8158884,5.202973,5.5434813,
1422810440744,201438714609634,201438714101000,-5.7750273,5.284695,5.5434813,
1422810440758,201438728517967,201438727626000,-5.8567495,5.284695,5.5843425,
1422810440771,201438741686301,201438741167000,-5.8976107,5.243834,5.6252036,
1422810440784,201438755174634,201438754666000,-5.8976107,5.284695,5.5434813,
1422810440798,201438768671301,201438768171000,-5.9248514,5.243834,5.3527966,
1422810440811,201438782229634,201438781707000,-5.8567495,5.1621118,5.7341666,
1422810440825,201438795754634,201438795244000,-5.9248514,5.1621118,5.6660647,
1422810440839,201438809487967,201438808769000,-5.9248514,5.1621118,5.706926,
1422810440852,201438822847968,201438822302000,-5.8567495,5.1212506,5.47538,
1422810440865,201438836224634,201438835706000,-5.965712,5.09401,5.434519,
1422810440879,201438849706301,201438849087000,-5.9248514,5.012288,5.5162406,
1422810440893,201438863846301,201438863271000,-5.9248514,5.012288,5.3936577,
1422810440908,201438878257967,201438877699000,-5.8567495,4.971427,5.5434813,
1422810440922,201438892659635,201438892122000,-5.7750273,5.012288,5.434519,
1422810440936,201438907054634,201438906532000,-5.8567495,5.012288,5.3527966,
1422810440951,201438921467967,201438920941000,-6.0882955,5.012288,5.202973,
1422810440965,201438935867967,201438935346000,-6.1291566,5.09401,5.243834,
1422810440980,201438951196300,201438949724000,-6.2789803,5.1212506,5.012288,
1422810440994,201438964546300,201438963969000,-6.3198414,5.1621118,5.3119354,
1422810441008,201438978484633,201438977926000,-6.3879433,5.09401,5.1621118,
1422810441022,201438992882968,201438992332000,-6.537767,5.09401,5.3119354,
1422810441036,201439007246301,201439006719000,-6.428804,5.1621118,4.8216033,
1422810441051,201439021614635,201439021096000,-6.347082,5.243834,5.1621118,
1422810441065,201439036026301,201439035424000,-6.428804,5.09401,5.3936577,
1422810441081,201439051406301,201439049852000,-6.2789803,5.1621118,5.202973,
1422810441094,201439064747968,201439064174000,-6.347082,5.09401,4.971427,
1422810441108,201439079026301,201439078481000,-6.469665,5.09401,5.202973,
1422810441123,201439093612967,201439092851000,-6.469665,5.053149,5.202973,
1422810441137,201439107722967,201439107144000,-6.2789803,5.053149,5.053149,
1422810441152,201439123111301,201439121196000,-6.428804,5.012288,5.3119354,
1422810441171,201439141472968,201439134786000,-6.3879433,4.971427,5.1212506,
1422810441179,201439149947967,201439148451000,-6.3879433,5.012288,5.3936577,
1422810441192,201439162461301,201439161842000,-6.428804,4.903325,4.971427,
1422810441205,201439175792968,201439175212000,-6.347082,4.930566,5.1621118,
1422810441218,201439189104634,201439188564000,-6.469665,4.903325,5.202973,
1422810441232,201439202567968,201439202047000,-6.3879433,4.903325,5.09401,
1422810441245,201439216017968,201439215496000,-6.428804,4.903325,4.971427,
1422810441259,201439229571301,201439229034000,-6.3198414,4.971427,5.053149,
1422810441272,201439243022968,201439242469000,-6.428804,4.903325,5.053149,
1422810441286,201439256531301,201439255997000,-6.469665,4.930566,4.930566,
1422810441299,201439270222967,201439269527000,-6.537767,4.930566,5.1212506,
1422810441313,201439283581300,201439283066000,-6.510526,4.971427,5.3119354,
1422810441326,201439297107967,201439296599000,-6.469665,4.971427,5.1621118,
1422810441340,201439310647968,201439310141000,-6.3879433,5.053149,5.1212506,
1422810441353,201439324171301,201439323669000,-6.469665,5.053149,5.053149,
1422810441367,201439337647967,201439337081000,-6.510526,5.1621118,5.1621118,
1422810441380,201439351212968,201439350572000,-6.510526,5.243834,5.3527966,
1422810441395,201439365684634,201439364889000,-6.537767,5.284695,5.47538,
1422810441409,201439379801301,201439379207000,-6.537767,5.3936577,5.3119354,
1422810441424,201439394437968,201439393837000,-6.510526,5.3527966,5.3119354,
1422810441437,201439407792967,201439407224000,-6.347082,5.3936577,5.1212506,
1422810441451,201439422184634,201439421631000,-6.197258,5.434519,5.012288,
1422810441466,201439436581301,201439436047000,-6.1563973,5.47538,5.3527966,
1422810441480,201439450947967,201439450419000,-6.1563973,5.434519,5.3527966,
1422810441495,201439465322967,201439464797000,-6.1291566,5.47538,5.012288,
1422810441509,201439479672967,201439479132000,-6.0882955,5.3527966,5.1621118,
1422810441523,201439493832967,201439493257000,-6.0882955,5.3527966,5.3119354,
1422810441537,201439508112967,201439507569000,-5.965712,5.3119354,5.1621118,
1422810441552,201439522521301,201439521989000,-6.1291566,5.3936577,5.47538,
1422810441566,201439536927967,201439536401000,-5.8976107,5.3119354,5.284695,
1422810441581,201439551344634,201439550821000,-6.006573,5.284695,5.3119354,
1422810441595,201439565747967,201439565229000,-6.1291566,5.1621118,5.5843425,
1422810441610,201439581076300,201439579637000,-6.006573,5.09401,5.47538,
1422810441624,201439594434634,201439593879000,-6.0474343,4.930566,5.243834,
