currentTimeMillis,nanoTime,timestamp,x,y,z
1424095430242,90827668585996,90827657349000,-0.06810174,2.6014864,8.989429,
1424095430245,90827671249330,90827670664000,-0.0,2.7513103,9.112013,
1424095430261,90827687529329,90827683767000,0.38136974,2.7921712,8.989429,
1424095430271,90827697355996,90827696787000,0.5720546,2.6423476,9.152874,
1424095430285,90827711534330,90827709825000,0.44947147,2.7921712,8.962189,
1424095430300,90827726300996,90827723130000,0.25878662,2.7513103,8.921328,
1424095430314,90827741157663,90827736470000,0.10896278,2.7921712,8.839605,
1424095430331,90827757399329,90827749674000,0.027240695,2.8602731,8.3765135,
1424095430338,90827764260996,90827762904000,0.027240695,3.0237172,8.267551,
1424095430350,90827776824329,90827776145000,0.40861043,2.5606253,8.730643,
1424095430364,90827790255996,90827789434000,-0.19068487,3.173541,8.22669,
1424095430380,90827806499329,90827802985000,-0.5720546,3.255263,8.689782,
1424095430395,90827821830996,90827816100000,-0.25878662,3.0237172,8.962189,
1424095430404,90827830639330,90827829199000,-0.25878662,2.901134,8.921328,
1424095430416,90827843039329,90827842344000,-0.06810174,2.669588,8.921328,
1424095430430,90827857185996,90827855652000,-0.06810174,2.5197644,8.158588,
1424095430446,90827872462663,90827868967000,-0.027240695,2.4516625,8.3765135,
1424095430461,90827887939329,90827882152000,0.14982383,2.5606253,8.076866,
1424095430472,90827898255996,90827895182000,1.1441092,3.3233647,8.839605,
1424095430482,90827908892662,90827908279000,0.53119355,3.3642259,8.730643,
1424095430495,90827922192663,90827921555000,-0.19068487,2.7513103,8.689782,
1424095430513,90827939805996,90827934765000,-0.06810174,2.669588,8.3765135,
1424095430530,90827956865996,90827947915000,-0.29964766,2.8602731,8.158588,
1424095430535,90827961809329,90827961117000,-0.40861043,2.6014864,7.8861814,
1424095430548,90827974845996,90827974222000,-0.38136974,2.8330324,7.995144,
1424095430562,90827988365996,90827987550000,-0.21792556,2.901134,8.3765135,
1424095430579,90828005322663,90828000839000,-0.06810174,2.8602731,8.580819,
1424095430594,90828020617663,90828013930000,-0.19068487,2.9419951,8.308413,
1424095430601,90828027604329,90828026940000,-0.19068487,3.4731886,8.60806,
1424095430614,90828040790996,90828039990000,0.44947147,3.405087,8.3765135,
1424095430629,90828055914329,90828053702000,0.9942854,3.445948,8.308413,
1424095430644,90828071070996,90828066994000,0.7218784,3.445948,8.036005,
1424095430660,90828086250996,90828080174000,0.38136974,3.405087,7.9679036,
1424095430667,90828093934329,90828093265000,0.40861043,3.255263,7.5456724,
1424095430680,90828106977662,90828106342000,0.3405087,3.091819,7.2324047,
1424095430694,90828120449330,90828119639000,0.21792556,3.091819,7.1234417,
1424095430711,90828137255996,90828132927000,0.027240695,3.173541,6.742072,
1424095430729,90828155219329,90828146052000,0.14982383,3.173541,6.0474343,
1424095430734,90828160612663,90828159339000,0.29964766,3.0645783,6.006573,
1424095430746,90828173094329,90828172427000,0.29964766,3.091819,5.5434813,
1424095430760,90828186500996,90828185757000,0.19068487,2.9419951,5.012288,
1424095430777,90828203535996,90828199054000,0.14982383,2.901134,5.012288,
1424095430792,90828218265996,90828212269000,-0.06810174,2.8330324,4.5900574,
1424095430799,90828225977663,90828225300000,-0.38136974,3.2825038,4.508335,
1424095430812,90828239039329,90828238357000,-0.6401563,3.5549107,4.440233,
1424095430827,90828253854329,90828251714000,-0.6401563,4.2086873,5.053149,
1424095430842,90828268692662,90828264997000,-0.44947147,5.202973,5.5162406,
1424095430858,90828284409329,90828278139000,-0.5720546,5.5843425,5.8158884,
