currentTimeMillis,nanoTime,timestamp,x,y,z
1422969160970,13146786461454,13146769939000,-2.0294318,-0.10896278,8.458236,
1422969160977,13146792919788,13146783389000,-2.4516625,-0.8036005,8.689782,
1422969160981,13146797159787,13146796513000,-2.8330324,-0.7218784,8.798744,
1422969160997,13146813046454,13146809704000,-2.5197644,-0.6810174,8.798744,
1422969161014,13146829899787,13146822751000,-2.3699405,-0.40861043,8.689782,
1422969161020,13146836231454,13146835848000,-2.1792557,-0.25878662,8.962189,
1422969161034,13146849646454,13146849006000,-2.1383946,-0.14982383,8.730643,
1422969161048,13146863998121,13146862398000,-1.9885708,-0.21792556,8.458236,
1422969161066,13146881629788,13146875679000,-2.2201166,-0.29964766,8.689782,
1422969161080,13146895596454,13146888698000,-2.3290794,-0.25878662,8.989429,
1422969161087,13146902858121,13146901801000,-2.3290794,-0.40861043,8.880466,
1422969161100,13146915554788,13146914944000,-2.5197644,-0.44947147,8.689782,
1422969161115,13146931094788,13146928309000,-2.7921712,-0.6810174,8.962189,
1422969161131,13146946599787,13146941674000,-2.8602731,-0.87170225,8.839605,
1422969161141,13146957228121,13146954789000,-3.0645783,-0.9942854,8.989429,
1422969161152,13146968536454,13146967856000,-2.8330324,-0.7627395,8.730643,
1422969161166,13146982301455,13146981554000,-2.7104492,-0.6810174,8.962189,
1422969161180,13146996469788,13146994888000,-2.6014864,-0.6401563,8.921328,
1422969161198,13147013586454,13147008121000,-2.3699405,-0.61291564,9.112013,
1422969161207,13147023143121,13147021288000,-2.3699405,-0.53119355,9.302697,
1422969161219,13147034978121,13147034313000,-2.2473574,-0.5720546,9.384419,
1422969161232,13147048038121,13147047406000,-2.1792557,-0.53119355,9.220976,
1422969161246,13147062423121,13147060759000,-2.1792557,-0.53119355,8.962189,
1422969161266,13147081641455,13147074509000,-2.2473574,-0.44947147,8.839605,
1422969161280,13147095816454,13147087618000,-2.3290794,-0.29964766,8.798744,
1422969161285,13147101393121,13147100744000,-2.2473574,-0.40861043,8.839605,
1422969161298,13147114466454,13147113868000,-2.2201166,-0.29964766,8.921328,
1422969161313,13147128558121,13147127178000,-2.1792557,-0.53119355,8.880466,
1422969161329,13147144818121,13147140386000,-2.2201166,-0.4903325,8.880466,
1422969161339,13147154949788,13147153518000,-2.2882185,-0.44947147,8.962189,
1422969161351,13147167234787,13147166564000,-2.1792557,-0.6401563,9.071152,
