currentTimeMillis,nanoTime,timestamp,x,y,z
1424675158906,263802644340262,263802635311000,1.334794,3.9771416,8.60806,
1424675158910,263802648790261,263802648300000,0.87170225,4.440233,7.84532,
1424675158924,263802662476929,263802661373000,1.1032481,4.2086873,7.84532,
1424675158938,263802676421928,263802674480000,0.87170225,4.3585114,7.995144,
1424675158954,263802692366929,263802687778000,0.87170225,4.2904096,7.995144,
1424675158968,263802706553595,263802701061000,1.0623871,4.3176503,8.076866,
1424675158978,263802716726928,263802714153000,0.9942854,4.399372,8.036005,
1424675158989,263802727833595,263802727208000,1.1032481,4.2086873,8.076866,
1424675159003,263802741853595,263802741143000,1.1849703,4.2086873,7.9270425,
1424675159018,263802756383595,263802754455000,1.253072,4.2495484,8.117727,
1424675159034,263802772755262,263802767645000,1.1849703,4.167826,8.117727,
1424675159043,263802781548595,263802780733000,1.253072,4.167826,8.158588,
1424675159056,263802794440262,263802793775000,0.95342433,4.2495484,8.036005,
1424675159069,263802807538595,263802806883000,1.1032481,4.0861044,8.036005,
1424675159084,263802822375262,263802820195000,0.95342433,4.2086873,8.076866,
1424675159100,263802838450261,263802833340000,0.9125633,4.2495484,8.036005,
1424675159109,263802847323595,263802846420000,0.95342433,4.2904096,8.076866,
1424675159122,263802860645262,263802859475000,1.0215261,4.3585114,8.158588,
1424675159135,263802873380262,263802872716000,1.0623871,4.167826,8.267551,
1424675159151,263802889341928,263802886016000,1.0623871,4.3176503,8.267551,
1424675159166,263802904676928,263802899186000,1.0215261,4.2495484,8.158588,
1424675159174,263802912853595,263802912286000,1.0623871,4.440233,8.580819,
1424675159188,263802926185262,263802925336000,1.0215261,4.508335,8.580819,
1424675159201,263802939273595,263802938460000,0.40861043,4.671779,8.60806,
1424675159216,263802954946928,263802951750000,-0.21792556,4.5491962,8.185829,
1424675159232,263802970693595,263802964911000,1.9068487,3.7864566,8.417375,
1424675159240,263802978506928,263802978003000,2.7104492,3.7455957,8.648921,
1424675159254,263802992848595,263802991698000,1.6344417,4.2904096,8.417375,
1424675159267,263803005466928,263803004873000,0.40861043,4.671779,8.036005,
1424675159282,263803020935262,263803018175000,1.0623871,4.3176503,8.458236,
1424675159299,263803037631928,263803031328000,1.7978859,4.0180025,8.22669,
1424675159306,263803045003595,263803044408000,1.6753027,4.0588636,7.804459,
1424675159320,263803058188595,263803057528000,1.253072,4.3585114,7.9679036,
1424675159333,263803071448595,263803070790000,1.0623871,4.2495484,7.84532,
1424675159348,263803087010262,263803084103000,1.1849703,4.1269655,7.995144,
1424675159365,263803103098595,263803097200000,1.253072,4.0861044,8.117727,
1424675159373,263803111033595,263803110240000,1.293933,4.0861044,8.076866,
1424675159386,263803124061928,263803123276000,1.1032481,4.2086873,7.9270425,
1424675159399,263803137176928,263803136525000,1.293933,4.167826,8.185829,
1424675159415,263803153130262,263803149796000,1.334794,4.2086873,8.3765135,
1424675159431,263803169476928,263803162923000,1.334794,4.167826,7.9679036,
1424675159438,263803176718595,263803175993000,1.293933,4.0861044,8.076866,
1424675159453,263803191138595,263803189070000,1.1849703,4.1269655,7.9679036,
1424675159465,263803203220262,263803202368000,1.1032481,4.3176503,8.117727,
1424675159481,263803219276928,263803215633000,1.0623871,4.399372,8.267551,
1424675159497,263803235048595,263803228696000,1.1849703,4.1269655,8.076866,
1424675159504,263803242930262,263803242406000,1.1849703,4.0861044,8.22669,
1424675159518,263803256411928,263803255501000,1.1032481,4.0180025,8.185829,
1424675159531,263803269398595,263803268770000,0.95342433,4.399372,7.9679036,
1424675159548,263803286291928,263803282070000,0.9125633,4.3585114,7.995144,
1424675159564,263803302563595,263803295170000,1.1032481,4.3176503,8.158588,
1424675159570,263803308871928,263803308233000,1.1849703,4.440233,8.539958,
1424675159584,263803322051929,263803321373000,1.334794,4.4810944,8.158588,
1424675159597,263803335370262,263803334655000,1.2258313,4.2904096,8.076866,
1424675159613,263803351850262,263803347915000,1.1849703,4.399372,7.995144,
1424675159629,263803367971928,263803361025000,0.9942854,4.4810944,8.036005,
1424675159636,263803374760262,263803374095000,0.95342433,4.5491962,7.8861814,
1424675159649,263803387785261,263803387141000,0.5720546,4.671779,7.995144,
1424675159663,263803401361929,263803400640000,0.61291564,4.671779,7.6137743,
1424675159679,263803417833595,263803413890000,0.8036005,4.630918,7.84532,
1424675159695,263803433628595,263803427010000,0.8308412,4.508335,7.4639506,
1424675159703,263803441478595,263803440806000,0.8308412,4.167826,7.84532,
1424675159716,263803454445262,263803453836000,0.8036005,4.1269655,7.9679036,
1424675159730,263803468406928,263803467120000,0.5720546,4.167826,7.84532,
1424675159746,263803484251928,263803480383000,0.21792556,4.2904096,7.7363577,
1424675159761,263803499920261,263803493866000,0.29964766,4.2904096,7.6954966,
1424675159770,263803508070261,263803506940000,0.21792556,4.167826,7.9679036,
1424675159782,263803520866929,263803520140000,0.027240695,3.9362805,7.6546354,
1424675159796,263803534078595,263803533383000,-0.21792556,3.8954194,7.84532,
1424675159813,263803551315262,263803546683000,-0.44947147,3.9771416,7.4639506,
1424675159829,263803567481928,263803559836000,-0.44947147,3.6774938,7.763598,
1424675159835,263803573996928,263803572976000,-0.6401563,3.5549107,7.4639506,
1424675159848,263803586708595,263803586068000,-1.8659877,3.7047346,7.3822284,
1424675159862,263803600166929,263803599446000,-2.4108016,3.9771416,7.3549876,
1424675159878,263803616418595,263803612848000,-2.2882185,3.9771416,7.6546354,
1424675159893,263803631928595,263803625978000,-1.9885708,3.8681788,7.6546354,
1424675159903,263803641020262,263803639041000,-2.1792557,3.8954194,7.504812,
1424675159914,263803652938595,263803652313000,-2.6014864,4.0180025,7.504812,
1424675159928,263803666458595,263803665566000,-2.7513103,3.7455957,7.9270425,
1424675159944,263803682420262,263803678856000,-2.0975335,3.4731886,7.8861814,
1424675159960,263803698223595,263803692218000,-2.0294318,3.3642259,7.6137743,
1424675159968,263803705896928,263803705228000,-2.8330324,3.214402,7.4639506,
1424675159980,263803718951928,263803718318000,-3.8954194,3.214402,7.04172,
1424675159994,263803732470262,263803731625000,-4.508335,3.255263,7.000859,
1424675160033,263803771036929,263803744876000,-5.3119354,3.3233647,7.000859,
1424675160044,263803782328595,263803757986000,-5.47538,3.214402,6.891896,
1424675160047,263803785155262,263803771175000,-5.47538,2.982856,7.04172,
1424675160070,263803808480261,263803784461000,-5.243834,2.8602731,7.5456724,
1424675160080,263803818615261,263803797750000,-5.434519,3.2825038,7.9679036,
1424675160080,263803818986928,263803811093000,-5.7750273,3.3233647,8.730643,
1424675160092,263803830231929,263803824205000,-5.5434813,2.7921712,8.839605,
1424675160100,263803838036928,263803837430000,-5.3527966,2.901134,8.648921,
1424675160113,263803851908595,263803850918000,-5.6660647,3.091819,9.071152,
1424675160127,263803865321928,263803864501000,-6.0882955,3.214402,9.80665,
1424675160144,263803882075262,263803877845000,-6.1291566,3.0645783,10.446807,
1424675160154,263803892051929,263803891501000,-6.3879433,2.9419951,10.106298,
1424675160167,263803905100262,263803904538000,-6.347082,2.6423476,9.956474,
1424675160180,263803918116928,263803917538000,-6.238119,2.4108016,9.452521,
1424675160193,263803931300262,263803930681000,-6.619489,1.8659877,9.452521,
1424675160209,263803947066928,263803943911000,-7.6954966,1.6344417,9.997335,
1424675160225,263803963748595,263803957275000,-9.493382,1.56634,10.528529,
1424675160233,263803971293595,263803970611000,-9.765789,1.293933,10.378705,
1424675160246,263803984668595,263803983918000,-8.417375,0.9942854,10.56939,
1424675160262,263804000323595,263803997416000,-7.4639506,0.6401563,10.8281765,
1424675160278,263804016110262,263804011105000,-6.3879433,0.38136974,10.760075,
1424675160290,263804028498595,263804024325000,-5.965712,-0.19068487,11.182305,
1424675160299,263804037883595,263804037358000,-6.238119,-0.19068487,10.8281765,
1424675160314,263804052498595,263804050575000,-6.1563973,0.25878662,10.760075,
1424675160326,263804064735262,263804063908000,-5.3527966,0.38136974,10.637491,
1424675160342,263804080185262,263804077295000,-5.09401,0.5720546,10.7192135,
1424675160360,263804098403595,263804094221000,-5.7750273,0.40861043,10.678352,
1424675160381,263804119650261,263804108810000,-6.197258,0.3405087,10.637491,
1424675160386,263804124490262,263804122238000,-5.9248514,0.44947147,10.487668,
1424675160397,263804135658595,263804135335000,-5.053149,0.44947147,10.065437,
1424675160410,263804149013595,263804148440000,-4.0588636,0.19068487,9.534244,
1424675160424,263804162601929,263804161813000,-3.2825038,0.0,8.648921,
1424675160441,263804179190261,263804175190000,-2.4516625,0.0,7.84532,
1424675160458,263804196811928,263804188435000,-2.1383946,-0.06810174,7.082581,
1424675160466,263804204181928,263804201628000,-1.7570249,-0.10896278,6.66035,
1424675160477,263804215721928,263804214810000,-1.56634,0.25878662,6.428804,
1424675160490,263804228786928,263804228058000,-1.525479,0.53119355,6.347082,
1424675160506,263804244685262,263804241643000,-1.7978859,0.6401563,7.1234417,
1424675160522,263804260206929,263804254858000,-2.1383946,0.53119355,7.5456724,
1424675160531,263804269021928,263804267993000,-1.8387469,0.40861043,7.3822284,
1424675160543,263804281725262,263804281113000,-1.0215261,0.3405087,7.84532,
1424675160556,263804294873595,263804294276000,0.027240695,0.7218784,8.185829,
1424675160571,263804309891928,263804307605000,0.61291564,0.6810174,8.036005,
1424675160588,263804327000262,263804320766000,1.56634,0.61291564,8.22669,
1424675160596,263804334938595,263804333896000,2.0294318,0.6401563,8.076866,
1424675160609,263804347846928,263804346943000,2.4108016,1.0215261,7.804459,
1424675160622,263804360818595,263804360160000,3.0237172,1.4437568,7.1506824,
1424675160638,263804376163595,263804373488000,3.13268,1.334794,6.66035,
1424675160654,263804392751928,263804386665000,3.5549107,1.2258313,6.9599977,
1424675160662,263804400601929,263804399705000,3.636633,1.0215261,7.1915436,
1424675160675,263804413408595,263804412775000,3.636633,0.95342433,7.000859,
1424675160688,263804426581928,263804425990000,3.5140498,0.7627395,6.578628,
1424675160704,263804442865262,263804439303000,3.255263,0.87170225,6.0474343,
1424675160719,263804457948595,263804452431000,3.13268,0.9942854,5.3119354,
1424675160728,263804466310262,263804465511000,2.8330324,0.7627395,5.243834,
1424675160741,263804479245261,263804478568000,2.6014864,-0.027240695,5.1621118,
1424675160754,263804492958595,263804492365000,2.3290794,-0.8036005,4.862464,
1424675160771,263804509550261,263804505680000,2.5197644,-1.8387469,4.930566,
1424675160786,263804524515262,263804518850000,2.2473574,-2.3290794,5.3119354,
1424675160794,263804532558595,263804531980000,1.6753027,-2.7104492,5.5843425,
1424675160808,263804546185262,263804545051000,1.1032481,-2.8602731,5.9248514,
1424675160820,263804558966928,263804558340000,0.29964766,-3.3642259,6.2789803,
1424675160837,263804575745262,263804571646000,-0.19068487,-3.7047346,5.965712,
1424675160853,263804591461929,263804584770000,-0.21792556,-3.8954194,6.0882955,
1424675160860,263804598601928,263804597898000,-0.87170225,-3.3233647,8.185829,
1424675160873,263804611761929,263804611115000,-1.4437568,-2.9419951,9.684067,
1424675160886,263804625005262,263804624358000,-2.2473574,-2.4789033,11.522814,
1424675160903,263804641846929,263804637661000,-2.3290794,-2.7104492,11.481953,
1424675160918,263804656860262,263804650810000,-2.1383946,-3.445948,10.419566,
1424675160926,263804664998595,263804663898000,-2.2882185,-3.5957718,9.833891,
1424675160939,263804677600261,263804676951000,-3.091819,-3.445948,9.384419,
1424675160953,263804691495262,263804690391000,-3.7047346,-2.6014864,9.997335,
1424675160970,263804708031928,263804703626000,-2.901134,-2.6014864,11.182305,
1424675160985,263804723216928,263804716748000,-1.6344417,-2.8330324,11.713499,
1424675160993,263804731090262,263804729720000,0.06810174,-3.173541,11.032481,
1424675161005,263804743606928,263804742968000,0.29964766,-3.405087,10.800936,
1424675161018,263804756891928,263804756260000,-0.4903325,-3.0237172,10.637491,
1424675161035,263804773366928,263804769548000,-1.6753027,-2.5606253,10.147159,
1424675161050,263804788765261,263804782721000,-2.1383946,-2.2882185,9.833891,
1424675161058,263804796408595,263804795763000,-1.9885708,-2.4108016,9.602345,
1424675161071,263804809503595,263804808858000,-1.6344417,-2.5606253,9.384419,
1424675161084,263804822765262,263804822163000,-1.253072,-2.8330324,8.880466,
1424675161101,263804839103595,263804835425000,-1.484618,-2.669588,8.771504,
1424675161116,263804855013595,263804848505000,-1.7570249,-2.4789033,8.458236,
1424675161124,263804862246929,263804861605000,-1.8387469,-2.4516625,8.308413,
1424675161137,263804875300262,263804874655000,-1.484618,-2.4789033,8.308413,
1424675161151,263804889311928,263804887950000,-1.1441092,-2.4789033,8.349273,
1424675161168,263804906303595,263804901128000,-1.1032481,-2.4789033,8.417375,
1424675161183,263804921295262,263804914196000,-1.1032481,-2.4516625,8.499097,
1424675161189,263804927930261,263804927256000,-0.9942854,-2.4108016,8.22669,
1424675161203,263804941610262,263804940920000,-1.0623871,-2.3290794,7.9679036,
1424675161216,263804954965262,263804954196000,-1.1032481,-2.3699405,7.9270425,
1424675161233,263804971571929,263804967475000,-1.1849703,-2.3699405,7.9270425,
1424675161248,263804986915261,263804980596000,-1.253072,-2.3699405,7.995144,
1424675161256,263804994466928,263804993806000,-1.0215261,-2.2882185,7.8861814,
1424675161269,263805007540261,263805006931000,-0.95342433,-2.2201166,7.804459,
1424675161282,263805020946929,263805020240000,-0.9125633,-2.1792557,8.076866,
1424675161299,263805037661928,263805033455000,-0.9125633,-2.2201166,8.158588,
1424675161315,263805053505262,263805046531000,-0.6401563,-2.2201166,7.995144,
1424675161322,263805060535262,263805059598000,-0.61291564,-2.1792557,7.9270425,
1424675161335,263805073405262,263805072746000,-0.5720546,-2.2473574,7.6137743,
1424675161350,263805088901928,263805086085000,-0.38136974,-2.2882185,7.804459,
1424675161366,263805104443595,263805099260000,-0.19068487,-2.5197644,7.572913,
1424675161376,263805114201928,263805112415000,-0.027240695,-2.4516625,7.6954966,
1424675161388,263805126033595,263805125445000,-0.10896278,-2.4108016,7.4230895,
1424675161401,263805139116928,263805138530000,-0.29964766,-2.4516625,7.4639506,
1424675161415,263805153475262,263805151960000,-0.027240695,-2.669588,7.2324047,
1424675161431,263805169695261,263805165140000,0.10896278,-2.982856,7.000859,
1424675161441,263805179701928,263805178276000,0.3405087,-3.0237172,6.9599977,
1424675161454,263805192878595,263805192003000,0.14982383,-2.901134,6.851035,
1424675161467,263805205758595,263805205106000,-0.0,-2.901134,7.000859,
1424675161483,263805221883595,263805218415000,-0.06810174,-3.173541,6.9599977,
1424675161498,263805236946928,263805231670000,-0.027240695,-3.091819,6.851035,
1424675161514,263805252993595,263805244730000,0.06810174,-3.255263,6.238119,
1424675161520,263805258501928,263805257796000,-0.0,-3.3233647,6.2789803,
1424675161533,263805271761929,263805271113000,0.21792556,-3.445948,5.6660647,
1424675161549,263805287350261,263805284413000,0.40861043,-3.4731886,5.3527966,
1424675161566,263805304541928,263805297638000,0.4903325,-3.3233647,5.3936577,
1424675161580,263805318785261,263805310846000,0.6401563,-3.173541,4.69902,
1424675161587,263805325538595,263805323970000,1.1849703,-3.445948,4.5491962,
1424675161599,263805337906928,263805337290000,1.293933,-4.1269655,3.8954194,
1424675161615,263805353923595,263805350631000,1.253072,-4.630918,2.982856,
1424675161631,263805369270261,263805363795000,1.2258313,-4.903325,2.1792557,
1424675161647,263805385705262,263805376858000,0.8036005,-4.630918,2.3290794,
1424675161653,263805391553595,263805389990000,0.027240695,-3.6774938,3.13268,
